"","linII.time","ips","ips.interval","ips.adp","log.ips","log.ips.interval","log.ips.adp","mds","mds.interval","mds.apd","log.mds","log.mds.interval","log.mds.apd","ptt","ptt.interval","ptt.adp","log.ptt","log.ptt.interval","log.ptt.adp"
"14500",9500,1.25901639344262,0.173706423904341,1,0.77330149172881,0.0675172158887799,0,1.52380952380952,0.152719669627194,1,0.89266175756555,0.067687300271253,0,2.45614035087719,0.184030321213339,1,1.22139187196428,0.0473398301199276,0
"14750",9750,1.26285714285714,0.19798058134129,0,0.791157687958858,0.0652536086602831,0,1.36666666666667,0.220056279809336,0,0.828302216596,0.0882331229039421,0,2.3448275862069,0.22342911795267,0,1.19336207081441,0.0588817408814953,0
"15000",10000,1.14777777777778,0.104855273078717,0,0.741534634236806,0.0376523272572441,0,1.39080459770115,0.144581215495309,1,0.828302216596,0.062945948615045,0,2.31578947368421,0.147819660035092,0,1.18157661850129,0.0381797476058806,0
"15250",10250,1.25283018867925,0.157746895815289,1,0.787203027267686,0.0510799930714271,0,1.22727272727273,0.228555870396615,0,0.738038306455441,0.0995523280380778,0,2.275,0.21039151537928,0,1.16433309199827,0.0638605715030962,0
"15500",10500,1.2,0.277185858225127,0,0.7658441061728,0.0794899540553821,0,1.3125,0.388668131786833,0,0.77653332805875,0.185602307444539,0,2.28571428571429,0.320192249942245,0,1.17239409253602,0.0962883580858886,0
"15750",10750,1.22962962962963,0.282042398087375,0,0.752696685414283,0.0985543702373363,0,1.57692307692308,0.270125283228085,1,0.913479008046611,0.0971624088950779,0,2.63636363636364,0.303681724065971,1,1.27396001491945,0.0708971084747767,0
"16000",11000,1.1258064516129,0.11303510858963,0,0.736141163224703,0.0391458992543919,0,1.35087719298246,0.173397246544645,0,0.814075370697468,0.0732096759204126,0,2.3695652173913,0.186377532849597,0,1.19816004155096,0.0471524695604093,0
"16250",11250,1.10985915492958,0.0838827191577559,0,0.73596647806677,0.0288407122759131,0,1.21875,0.192610448112822,0,0.73218558185942,0.0867677115258004,0,2.27692307692308,0.157948310022783,0,1.16841607520213,0.0473827481322811,0
"16500",11500,1.02307692307692,0.0574606837543271,0,0.698169055956372,0.0258384240345432,0,1.29090909090909,0.166161555985375,0,0.791125897670173,0.068922746734849,0,2.36363636363636,0.167795976654794,0,1.19908027963253,0.0445644219887034,0
"16750",11750,1.07962962962963,0.0714463149964148,0,0.716596070134293,0.0290654530255491,0,1.11009174311927,0.0897416056589039,0,0.71931054560706,0.045955308787108,0,2.18181818181818,0.15041792891485,0,1.13427739370894,0.0402366034781619,0
"17000",12000,1.14509803921569,0.139331614808141,0,0.74118077329576,0.0507005486343959,0,1.17391304347826,0.175565291565857,0,0.736086518373028,0.081431593813839,0,2.24390243902439,0.214056984523838,0,1.15543804608606,0.0599770948679101,0
"17250",12250,1.068,0.117791843520678,0,0.707390484287859,0.0504438088352794,0,1.1063829787234,0.122665048141137,0,0.724039976211802,0.0587554507648834,0,2.32558139534884,0.213564189134875,0,1.17707962157289,0.0658052395806004,0
"17500",12500,1.13617021276596,0.141124423468111,0,0.741446369949062,0.0392974258898527,0,0.971428571428571,0.150018038131106,0,0.64868451204808,0.0750957789773599,0,2.37037037037037,0.237371203198811,0,1.20038057319562,0.0558475601075571,0
"17750",12750,1.03,0.10831276648953,0,0.691769931401996,0.0489060778145656,0,1.18421052631579,0.1788758119839,0,0.749597406249345,0.0800882292843569,0,2.42857142857143,0.20145354157166,0,1.21669541809619,0.0570853213925221,0
